id,text,entities,relations,Comments
6691,"in the unequal endowment treatment, we again find a positive effect of being at the same time poorer than the group average and being a high-endowment player (model 3).;;","[{'id': 5709, 'label': 'cause', 'start_offset': 6, 'end_offset': 34}, {'id': 5711, 'label': 'effect', 'start_offset': 52, 'end_offset': 123}, {'id': 5712, 'label': 'effect', 'start_offset': 128, 'end_offset': 157}]","[{'id': 2581, 'from_id': 5709, 'to_id': 5711, 'type': 'Rel_CE'}, {'id': 2582, 'from_id': 5709, 'to_id': 5712, 'type': 'Rel_CE'}]",[]
9356,"In the Random-Vote (RV) and the Random-Exogenous (RE) treatments, there is no quiz, and the endowment levels are assigned randomly.;;","[{'id': 9682, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 133}]",[],[]
8996,For any repeated game that starts after 50 interactions cooperation is always below 10 percent.;;,"[{'id': 9322, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 97}]",[],[]
7139,"encountering the unfamiliar given my lack of medical experience, my time at the hospital was, and continues to be, filled with new experiences, some of which i found jarring.;;","[{'id': 8739, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 176}]",[],[]
6852,"right-hand contractions, relative to left-hand contractions, caused increased left frontal cortical activity (during the contractions and during ostracism) and fig.;;","[{'id': 6164, 'label': 'cause', 'start_offset': 0, 'end_offset': 23}, {'id': 6165, 'label': 'effect', 'start_offset': 67, 'end_offset': 108}]","[{'id': 2797, 'from_id': 6164, 'to_id': 6165, 'type': 'Rel_CE'}]",[]
6561,"corrupt officers are hard to detect, so the expected punishment is often small compared to the potential gains from corruption.;;","[{'id': 5333, 'label': 'cause', 'start_offset': 0, 'end_offset': 35}, {'id': 8536, 'label': 'effect', 'start_offset': 44, 'end_offset': 78}]","[{'id': 3898, 'from_id': 5333, 'to_id': 8536, 'type': 'Rel_CE'}]",[]
7594,"to some extent, this neglect is due to the difficulty of creating strong social ties in controlled environments.;;","[{'id': 7986, 'label': 'effect', 'start_offset': 16, 'end_offset': 28}, {'id': 7987, 'label': 'cause', 'start_offset': 43, 'end_offset': 111}]","[{'id': 3587, 'from_id': 7987, 'to_id': 7986, 'type': 'Rel_CE'}]",[]
9357,"Together, these provide stronger evidence for the influence of contextual factors on how the logic of appropriateness question might be resolved in favor of cooperation in the presence of group affiliation.;;","[{'id': 9683, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 208}]",[],[]
8733,Our findings indicate that risk aversion is also important in the presence of a deterministic discounting of future profits.;;,"[{'id': 9059, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 126}]",[],[]
7637,"not only did participants with higher contingent approval feel more perceived social threat and threatened belongingness, they also had lower self-esteem when they felt others were excluding them.;;","[{'id': 8089, 'label': 'cause', 'start_offset': 159, 'end_offset': 195}, {'id': 8090, 'label': 'effect', 'start_offset': 136, 'end_offset': 153}, {'id': 8093, 'label': 'effect', 'start_offset': 58, 'end_offset': 91}, {'id': 8094, 'label': 'effect', 'start_offset': 96, 'end_offset': 120}]","[{'id': 3634, 'from_id': 8089, 'to_id': 8090, 'type': 'Rel_CE'}, {'id': 3635, 'from_id': 8089, 'to_id': 8093, 'type': 'Rel_CE'}, {'id': 3636, 'from_id': 8089, 'to_id': 8094, 'type': 'Rel_CE'}]",[]
6352,"when working in volatile, dangerous, and unfamiliar settings, they rely heavily on fixers, ras, and other local staff.;;","[{'id': 4805, 'label': 'cause', 'start_offset': 5, 'end_offset': 60}, {'id': 4806, 'label': 'effect', 'start_offset': 66, 'end_offset': 117}]","[{'id': 2151, 'from_id': 4805, 'to_id': 4806, 'type': 'Rel_CE'}]",[]
6202,"""the system remains not only systematically rigged so these students cannot """"race to the top"""" and are always the """"child left behind,"""" but also performs as culturally deaf."";;","[{'id': 4416, 'label': 'effect', 'start_offset': 60, 'end_offset': 134}, {'id': 8380, 'label': 'cause', 'start_offset': 5, 'end_offset': 50}]","[{'id': 3809, 'from_id': 8380, 'to_id': 4416, 'type': 'Rel_CE'}]",[]
7564,"if sorting in the first period is incomplete, we should expect the dynamics of conditional cooperation to lead to a decrease of cooperation rates over time.;;","[{'id': 7914, 'label': 'cause', 'start_offset': 3, 'end_offset': 44}, {'id': 7915, 'label': 'effect', 'start_offset': 67, 'end_offset': 155}]","[{'id': 3558, 'from_id': 7914, 'to_id': 7915, 'type': 'Rel_CE'}]",[]
6506,pain tolerance is measured by asking participants to stop a painful stimulus when the pain is no longer bearable.;;,"[{'id': 5196, 'label': 'cause', 'start_offset': 86, 'end_offset': 112}, {'id': 5197, 'label': 'effect', 'start_offset': 53, 'end_offset': 76}]","[{'id': 2336, 'from_id': 5196, 'to_id': 5197, 'type': 'Rel_CE'}]",[]
9583,"We thank J. Rising for programming our 'spinning wheel', the jaffa team at Magdeburg University for use of their laboratory and the Princeton Institute for International and Regional Studies research community on Communicating Uncertainty: Science, Institutions, and Ethics in the Politics of Global Climate Change for financially supporting our experiments.;;","[{'id': 9909, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 360}]",[],[]
7217,minimizing the pain and probability of rejection evidence for relational distancing and proximity seeking within face to face interactions.;;,"[{'id': 7096, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 141}]",[],[]
6751,"social exclusion is known to generate strong feelings of rejection, social pain, and distress (williams 1997, 2001).;;","[{'id': 5894, 'label': 'cause', 'start_offset': 0, 'end_offset': 16}, {'id': 5895, 'label': 'effect', 'start_offset': 29, 'end_offset': 66}, {'id': 5897, 'label': 'effect', 'start_offset': 85, 'end_offset': 93}, {'id': 5898, 'label': 'effect', 'start_offset': 68, 'end_offset': 79}]","[{'id': 2672, 'from_id': 5894, 'to_id': 5895, 'type': 'Rel_CE'}, {'id': 2673, 'from_id': 5894, 'to_id': 5898, 'type': 'Rel_CE'}, {'id': 2674, 'from_id': 5894, 'to_id': 5897, 'type': 'Rel_CE'}]",[]
6912,participants who highly expected ostracism still had lower satiation of needs than included participants.;;,"[{'id': 6308, 'label': 'cause', 'start_offset': 17, 'end_offset': 42}, {'id': 6309, 'label': 'effect', 'start_offset': 59, 'end_offset': 77}]","[{'id': 2863, 'from_id': 6308, 'to_id': 6309, 'type': 'Rel_CE'}]",[]
8653,"Fiedler and Haruvy (2009) compare trust in standard laboratory sessions to conditions where laboratory participants use the Second Life interface with provided avatars and where SL residents recruited ""in-world"" use their own avatars.;;","[{'id': 8979, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 236}]",[],[]
6110,"""high-paid leaders may develop a taste for perquisites, perhaps especially those leaders who ascend quickly in organizations, who, as kramer (2003) argues, may develop a """"winner wants all"""" mentality."";;","[{'id': 4176, 'label': 'cause', 'start_offset': 1, 'end_offset': 18}, {'id': 4177, 'label': 'effect', 'start_offset': 23, 'end_offset': 54}, {'id': 4178, 'label': 'cause', 'start_offset': 81, 'end_offset': 124}, {'id': 4179, 'label': 'effect', 'start_offset': 160, 'end_offset': 200}]","[{'id': 1865, 'from_id': 4178, 'to_id': 4179, 'type': 'Rel_CE'}, {'id': 1866, 'from_id': 4176, 'to_id': 4177, 'type': 'Rel_CE'}]",[]
6862,"and although friends perturbed the ri at times, the ri did not perceive the inconveniences to impact data quality.;;","[{'id': 6194, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 116}]",[],[]
7292,"as read (2018) notes, research exploring complex or obscure issues may warrant numerous sessions to allow interviewers and interviewees enough time to discuss issues relevant to the research question(s).;;","[{'id': 8827, 'label': 'cause', 'start_offset': 21, 'end_offset': 48}, {'id': 8828, 'label': 'cause', 'start_offset': 52, 'end_offset': 66}, {'id': 8831, 'label': 'effect', 'start_offset': 71, 'end_offset': 202}]","[{'id': 4064, 'from_id': 8828, 'to_id': 8831, 'type': 'Rel_CE'}, {'id': 4065, 'from_id': 8827, 'to_id': 8831, 'type': 'Rel_CE'}]",[]
6184,"we hypothesized that ot may act as a general buffer against social stress and therefore attenuate the negative experiences of ostracism, employing a widely used self-report affective assessment of fundamental needs.;;","[{'id': 4356, 'label': 'cause', 'start_offset': 21, 'end_offset': 73}, {'id': 4358, 'label': 'effect', 'start_offset': 102, 'end_offset': 135}, {'id': 8374, 'label': 'cause', 'start_offset': 161, 'end_offset': 214}]","[{'id': 1940, 'from_id': 4356, 'to_id': 4358, 'type': 'Rel_CE'}, {'id': 3803, 'from_id': 8374, 'to_id': 4358, 'type': 'Rel_CE'}]",[]
6095,"it cannot be understated that the skills and knowledge to do this is not a natural aspect of the human psyche, but rather is something that researchers must learn, refine and apply throughout the research process and career.;;","[{'id': 4136, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 226}]",[],[]
6949,"firstly, measures which tap how one generally copes with stress are likely to reflect dispositions to a greater extent than situation specific measures (david and suls, 1999).;;","[{'id': 6414, 'label': 'cause', 'start_offset': 9, 'end_offset': 63}, {'id': 6415, 'label': 'effect', 'start_offset': 78, 'end_offset': 118}]","[{'id': 2913, 'from_id': 6414, 'to_id': 6415, 'type': 'Rel_CE'}]",[]
6770,"""secondly, """"do not harm"""" procedure, while passively protecting participants, it does not contribute to enable participation of vulnerable and hard-to-reach populations."";;","[{'id': 5950, 'label': 'effect', 'start_offset': 105, 'end_offset': 169}, {'id': 8608, 'label': 'cause', 'start_offset': 10, 'end_offset': 77}]","[{'id': 3950, 'from_id': 8608, 'to_id': 5950, 'type': 'Rel_Zero'}]",[]
6249,our results suggest that exogenous ot reduces the salience of positive social interactions among women and prevents habituation to negative social interactions among men.;;,"[{'id': 4530, 'label': 'cause', 'start_offset': 25, 'end_offset': 38}, {'id': 4531, 'label': 'effect', 'start_offset': 50, 'end_offset': 102}, {'id': 4532, 'label': 'effect', 'start_offset': 107, 'end_offset': 169}]","[{'id': 2025, 'from_id': 4530, 'to_id': 4531, 'type': 'Rel_CE'}, {'id': 2026, 'from_id': 4530, 'to_id': 4532, 'type': 'Rel_CE'}]",[]
5829,members of bo age groups displayed higher levels of cooperation and earned more nickels when interacting with friends than with strangers.;;,"[{'id': 3439, 'label': 'cause', 'start_offset': 93, 'end_offset': 137}, {'id': 7348, 'label': 'effect', 'start_offset': 35, 'end_offset': 63}, {'id': 7349, 'label': 'effect', 'start_offset': 68, 'end_offset': 87}]","[{'id': 3325, 'from_id': 3439, 'to_id': 7349, 'type': 'Rel_CE'}, {'id': 3326, 'from_id': 3439, 'to_id': 7348, 'type': 'Rel_CE'}]",[]
6931,"""if w is within the given bounds, this function crosses zero somewhere in the interval x; x ð þ. lemma 2 implies that this function is also strictly increasing in the cutoff, guaranteeing uniqueness of the interior equilibrium cutoff."";;","[{'id': 6352, 'label': 'cause', 'start_offset': 4, 'end_offset': 32}, {'id': 6353, 'label': 'effect', 'start_offset': 39, 'end_offset': 95}, {'id': 6354, 'label': 'cause', 'start_offset': 118, 'end_offset': 131}, {'id': 6355, 'label': 'effect', 'start_offset': 163, 'end_offset': 174}, {'id': 6356, 'label': 'effect', 'start_offset': 175, 'end_offset': 233}]","[{'id': 2881, 'from_id': 6352, 'to_id': 6353, 'type': 'Rel_CE'}, {'id': 2882, 'from_id': 6354, 'to_id': 6355, 'type': 'Rel_CE'}, {'id': 2883, 'from_id': 6354, 'to_id': 6356, 'type': 'Rel_CE'}]",[]
5761,"not everyone is a cooperator, though: some people are predisposed to cooperate, even at a cost, as long as they expect their group members to cooperate as well.;;","[{'id': 3255, 'label': 'cause', 'start_offset': 112, 'end_offset': 151}, {'id': 3256, 'label': 'effect', 'start_offset': 43, 'end_offset': 78}]","[{'id': 1417, 'from_id': 3255, 'to_id': 3256, 'type': 'Rel_CE'}]",[]
6188,"in bpd, blends were especially prominent after social exclusion, but were also present in the inclusion situation compared to healthy controls.;;","[{'id': 4369, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 145}]",[],[]
6438,"we found that when par-ticipants were ostracized while possessing a temporary group membership, one that was not central to their identity, recovery from a needs threat was signifi cantly better than when participants were ostracized while possessing a permanent group membership.;;","[{'id': 5018, 'label': 'cause', 'start_offset': 38, 'end_offset': 94}, {'id': 8486, 'label': 'effect', 'start_offset': 140, 'end_offset': 194}]","[{'id': 3861, 'from_id': 5018, 'to_id': 8486, 'type': 'Rel_CE'}]",[]
7078,"social adversity, if left unchanged, may increase the difficulty of promoting long-term changes in overweight youths' health behaviors.;;","[{'id': 6769, 'label': 'cause', 'start_offset': 0, 'end_offset': 35}, {'id': 6770, 'label': 'effect', 'start_offset': 53, 'end_offset': 134}]","[{'id': 3071, 'from_id': 6769, 'to_id': 6770, 'type': 'Rel_CE'}]",[]
6265,"the effect of a threat thus seems highly dependent on the concomitant subsequent behavior of the source, and the context in which the threat message is delivered, for these factors will help the target to infer the intentions of source and respond to them accordingly.;;","[{'id': 4567, 'label': 'effect', 'start_offset': 195, 'end_offset': 267}, {'id': 4568, 'label': 'cause', 'start_offset': 58, 'end_offset': 103}, {'id': 4569, 'label': 'cause', 'start_offset': 113, 'end_offset': 161}]","[{'id': 2038, 'from_id': 4568, 'to_id': 4567, 'type': 'Rel_CE'}, {'id': 2039, 'from_id': 4569, 'to_id': 4567, 'type': 'Rel_CE'}]",[]
9111,They can undermine the social wellbeing of individuals.;;,"[{'id': 9437, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 57}]",[],[]
8708,Weak reciprocity can occur in stable relationships and means behaving conditionally cooperatively for self-regarding strategic reasons.;;,"[{'id': 9034, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 137}]",[],[]
9677,"That understanding contributes to cooperation is also consistent with another covariation in the data, that between rate of C and frequency of shifts in response The subjects with higher rates more often shifted colors from one trial to the next (p < 01, for each schedule).;;","[{'id': 10003, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 276}]",[],[]
9109,Hypothesis 4 states that the overall level of cooperation will be lower in the randompartner PD/R than in the fixed-partner PD/R.;;,"[{'id': 9435, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 131}]",[],[]
5727,"while the process can be employed with teams of various sizes, we have found teams of two to four analysts to be most effective because they capitalize on the integration of multiple perspectives, while also limiting variability due to inconsistencies in coding (olson et al., 2016).;;","[{'id': 3176, 'label': 'effect', 'start_offset': 76, 'end_offset': 127}, {'id': 3177, 'label': 'cause', 'start_offset': 141, 'end_offset': 195}, {'id': 3178, 'label': 'effect', 'start_offset': 207, 'end_offset': 228}, {'id': 3180, 'label': 'cause', 'start_offset': 77, 'end_offset': 127}, {'id': 5570, 'label': 'effect', 'start_offset': 236, 'end_offset': 261}, {'id': 5571, 'label': 'cause', 'start_offset': 236, 'end_offset': 261}]","[{'id': 1381, 'from_id': 3177, 'to_id': 3176, 'type': 'Rel_CE'}, {'id': 2511, 'from_id': 3180, 'to_id': 5570, 'type': 'Rel_CE'}, {'id': 2512, 'from_id': 5571, 'to_id': 3178, 'type': 'Rel_CE'}]",[]
5915,one way in which emotions may affect media preferences is in the emotion regulation beliefs of adolescents.;;,"[{'id': 3636, 'label': 'cause', 'start_offset': 64, 'end_offset': 106}, {'id': 8179, 'label': 'effect', 'start_offset': 17, 'end_offset': 54}]","[{'id': 3693, 'from_id': 3636, 'to_id': 8179, 'type': 'Rel_CE'}]",[]
6589,"the ethical concern associated with 'fake friendship', however, assumes that the interviewee is mostly passive in the interaction, as opposed to being aware of and comfortable with the process of rapport building.;;","[{'id': 5424, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 215}]",[],[]
6641,"thus, increases in sample size are associated with decreases in study quality when type of phenomenology, type of sample, and the use of pseudonyms are held constant.;;","[{'id': 5562, 'label': 'cause', 'start_offset': 83, 'end_offset': 165}, {'id': 5563, 'label': 'effect', 'start_offset': 6, 'end_offset': 77}]","[{'id': 2506, 'from_id': 5562, 'to_id': 5563, 'type': 'Rel_CE'}]",[]
9582,"On the other hand, a broad interpretation maintains that indifference may mean that leaders randomize between consistent and inconsistent announcements with any probability.;;","[{'id': 9908, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 175}]",[],[]
6659,"my relative insider status was constructed from being new to government, my position as manager (which excluded me from lower and higher seniority level cultures across the organization) and from having a generalist skill set in an organization that was staffed primarily with subject matter experts.;;","[{'id': 5628, 'label': 'cause', 'start_offset': 76, 'end_offset': 95}, {'id': 5629, 'label': 'effect', 'start_offset': 103, 'end_offset': 185}, {'id': 8578, 'label': 'effect', 'start_offset': 0, 'end_offset': 42}, {'id': 8579, 'label': 'cause', 'start_offset': 48, 'end_offset': 71}, {'id': 8580, 'label': 'cause', 'start_offset': 195, 'end_offset': 244}]","[{'id': 2543, 'from_id': 5628, 'to_id': 5629, 'type': 'Rel_CE'}, {'id': 3929, 'from_id': 8579, 'to_id': 8578, 'type': 'Rel_CE'}, {'id': 3930, 'from_id': 5628, 'to_id': 8578, 'type': 'Rel_CE'}, {'id': 3931, 'from_id': 8580, 'to_id': 8578, 'type': 'Rel_CE'}]",[]
5725,"the nature of the relationship among exclusion, belongingness, and mimicry suggests that individuals may be able to establish themselves in desired groups by mimicking the behaviors of group members and to reestablish themselves in groups from which they have been excluded by mimicking representative group members.;;","[{'id': 3171, 'label': 'cause', 'start_offset': 158, 'end_offset': 198}, {'id': 3172, 'label': 'effect', 'start_offset': 206, 'end_offset': 273}, {'id': 3173, 'label': 'cause', 'start_offset': 276, 'end_offset': 315}, {'id': 3174, 'label': 'effect', 'start_offset': 116, 'end_offset': 154}]","[{'id': 1379, 'from_id': 3173, 'to_id': 3172, 'type': 'Rel_CE'}, {'id': 1380, 'from_id': 3171, 'to_id': 3174, 'type': 'Rel_CE'}]",[]
7004,there is evidence that optimism may influence people's reactions to ostracism.;;,"[{'id': 6572, 'label': 'cause', 'start_offset': 23, 'end_offset': 31}, {'id': 6573, 'label': 'effect', 'start_offset': 36, 'end_offset': 77}]","[{'id': 2974, 'from_id': 6572, 'to_id': 6573, 'type': 'Rel_CE'}]",[]
9117,"Within this instructional context, we were interested in assessing the role of monetary (versus non-monetary) incentive, the role of the nature of the other player (person or computer), and the role of presentation (or not) of the other player's cumulative score.;;","[{'id': 9443, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 265}]",[],[]
6789,"because they had this information in combination with information about their next interaction partner, we were able to test whether increases in mimicry always follow exclusion, or whether mimicry increases selectively only in particular circumstances.;;","[{'id': 6005, 'label': 'cause', 'start_offset': 8, 'end_offset': 102}, {'id': 6006, 'label': 'effect', 'start_offset': 112, 'end_offset': 252}]","[{'id': 2729, 'from_id': 6005, 'to_id': 6006, 'type': 'Rel_CE'}]",[]
7279,"within condition correlations revealed patterns of associations between ostracism induced frontal asymmetry and emotive responses to ostracism consistent with study 1. taken together, these results suggest that asymmetrical frontal cortical activity is related to angry responses to ostracism, with greater relative left frontal cortical activity being associated with increased anger.;;","[{'id': 7238, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 387}]",[],[]
6015,this has the dangerous implication that ingroups seen as most essentialized will be the groups that elicit both the most prosocial acts from rejected members and the most serious and consequential acts of aggression and violence.;;,"[{'id': 3919, 'label': 'effect', 'start_offset': 13, 'end_offset': 34}, {'id': 3920, 'label': 'cause', 'start_offset': 40, 'end_offset': 75}, {'id': 3921, 'label': 'effect', 'start_offset': 100, 'end_offset': 157}, {'id': 3922, 'label': 'effect', 'start_offset': 162, 'end_offset': 228}]","[{'id': 1743, 'from_id': 3920, 'to_id': 3919, 'type': 'Rel_CE'}, {'id': 1744, 'from_id': 3920, 'to_id': 3921, 'type': 'Rel_CE'}, {'id': 1745, 'from_id': 3920, 'to_id': 3922, 'type': 'Rel_CE'}]",[]
6224,"""not only does a shared or unshared racial group influence social affiliation (e.g., emerson, chai, and yancey 2001; marsden 1988), but even the race of others' social networks can signal whether they are likely to afford affiliative opportunities (shapiro, baldwin, williams, and trawalter 2010; wout, murphy, and steele 2010)."";;","[{'id': 4474, 'label': 'cause', 'start_offset': 17, 'end_offset': 48}, {'id': 4475, 'label': 'effect', 'start_offset': 59, 'end_offset': 77}, {'id': 4476, 'label': 'cause', 'start_offset': 145, 'end_offset': 176}, {'id': 4477, 'label': 'effect', 'start_offset': 181, 'end_offset': 247}]","[{'id': 2002, 'from_id': 4474, 'to_id': 4475, 'type': 'Rel_CE'}, {'id': 2003, 'from_id': 4476, 'to_id': 4477, 'type': 'Rel_CE'}]",[]
7273,"results showed that such a symbolic threat to survival is able to reduce the immediate distress caused by ostracism (study 1 and study 2), and--when the negative consequences of not surviving are highlighted still powerful enough to induce aggression to fellow game players (study 2).;;","[{'id': 7224, 'label': 'cause', 'start_offset': 27, 'end_offset': 54}, {'id': 7226, 'label': 'effect', 'start_offset': 76, 'end_offset': 95}, {'id': 7227, 'label': 'cause', 'start_offset': 106, 'end_offset': 115}]","[{'id': 3270, 'from_id': 7227, 'to_id': 7226, 'type': 'Rel_CE'}, {'id': 3271, 'from_id': 7224, 'to_id': 7226, 'type': 'Rel_CE'}]",[]
6288,"for example, on occasions, tensions within the research location rose and it was safest for the researcher to remove herself from the area as it was not always possible to know how civil disturbances may develop.;;","[{'id': 4620, 'label': 'effect', 'start_offset': 81, 'end_offset': 138}, {'id': 4621, 'label': 'cause', 'start_offset': 142, 'end_offset': 211}]","[{'id': 2062, 'from_id': 4621, 'to_id': 4620, 'type': 'Rel_CE'}]",[]
9680,:54:19 UTC All use subject to https://about.jstor.org/terms;;,"[{'id': 10006, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 61}]",[],[]
6643,"when focus group data are coded, they lose the dialogic element.;;","[{'id': 5567, 'label': 'cause', 'start_offset': 5, 'end_offset': 31}, {'id': 5568, 'label': 'effect', 'start_offset': 38, 'end_offset': 63}]","[{'id': 2509, 'from_id': 5567, 'to_id': 5568, 'type': 'Rel_CE'}]",[]
7611,while this may perhaps appear counter intuitive it is accounted for by the fact that it holds the deviation in the contribution of the target from the punisher constant.;;,"[{'id': 8024, 'label': 'effect', 'start_offset': 30, 'end_offset': 47}, {'id': 8025, 'label': 'cause', 'start_offset': 86, 'end_offset': 168}]","[{'id': 3604, 'from_id': 8025, 'to_id': 8024, 'type': 'Rel_CE'}]",[]
9231,"In summary, the results suggested that in the TDMSV prosocials primarily prefer equal outcomes rather than maximizing joint outcome.;;","[{'id': 9557, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 134}]",[],[]
6112,"""further, because i selected studies that matched a keyword search for """"critical discourse analysis,"""" it is possible i missed articles that approached research from a cda orientation, but that did not label their theoretical or methodological commitments as """"critical discourse analysis."""""";;","[{'id': 4182, 'label': 'cause', 'start_offset': 20, 'end_offset': 103}, {'id': 4184, 'label': 'effect', 'start_offset': 121, 'end_offset': 290}]","[{'id': 1869, 'from_id': 4182, 'to_id': 4184, 'type': 'Rel_CE'}]",[]
5868,it is thus unclear to what extent the empathy gap findings would hold for exclusion experiences that lead to emotional numbness.;;,"[{'id': 3519, 'label': 'cause', 'start_offset': 74, 'end_offset': 95}, {'id': 3520, 'label': 'effect', 'start_offset': 109, 'end_offset': 127}]","[{'id': 1541, 'from_id': 3519, 'to_id': 3520, 'type': 'Rel_CE'}]",[]
9288,The experiment allows you to earn money.;;,"[{'id': 9614, 'label': 'non-causal', 'start_offset': 0, 'end_offset': 42}]",[],[]
